State,totalRegistered,Pop,registeredPerc,asOf
Alabama,3708804,4908620,0.7556,11/4/2020
Alaska,597319,734002,0.8138,11/3/2020
Arizona,4281152,7378490,0.5802,11/4/2020
Arkansas,1755775,3039000,0.5777,6/3/2020
California,22047448,39937500,0.552,10/19/2020
Colorado,4238513,5845530,0.7251,11/1/2020
Connecticut,2375537,3563080,0.6667,10/29/2019
Delaware,738563,982895,0.7514,11/1/2020
Florida,14065627,21993000,0.6396,8/31/2020
Georgia,7233584,10736100,0.6738,11/1/2020
Hawaii,830000,1412690,0.5875,10/29/2020
Idaho,1010984,1826160,0.5536,11/2/2020
Illinois,8036534,12659700,0.6348,3/17/2020
Indiana,4585024,6745350,0.6797,6/2/2020
Iowa,2245096,3179850,0.706,11/2/2020
Kansas,1851397,2910360,0.6361,7/1/2020
Kentucky,3565428,4499690,0.7924,10/10/2020
Louisiana,3091340,4645180,0.6655,11/1/2020
Maine,1063383,1345790,0.7902,8/3/2020
Maryland,4141498,6083120,0.6808,10/13/2020
Massachusetts,4812909,6976600,0.6899,10/24/2020
Michigan,8127040,10045000,0.8091,11/3/2020
Minnesota,3588563,5700670,0.6295,11/2/2020
Mississippi,1985928,2989260,0.6644,11/3/2020
Missouri,4213092,6169270,0.6829,11/1/2018
Montana,696292,1086760,0.6407,3/1/2020
Nebraska,1252089,1952570,0.6413,10/1/2020
Nevada,1821356,3139660,0.5801,11/2/2020
New Hampshire,998537,1371250,0.7282,10/21/2020
New Jersey,6486299,8936570,0.7258,11/2/2020
New Mexico,1350181,2096640,0.644,10/30/2020
New York,13555547,19440500,0.6973,11/1/2020
North Carolina,7361219,10611900,0.6937,11/3/2020
North Dakota,581379,761723,0.7632,3/1/2020
Ohio,7774767,11747700,0.6618,3/17/2020
Oklahoma,2259113,3954820,0.5712,11/1/2020
Oregon,2924292,4301090,0.6799,10/7/2020
Pennsylvania,9091371,12820900,0.7091,11/2/2020
Rhode Island,809821,1056160,0.7668,11/3/2020
South Carolina,3513225,5210100,0.6743,11/3/2020
South Dakota,578666,903027,0.6408,11/3/2020
Tennessee,3931248,6897580,0.5699,6/1/2020
Texas,16211198,29472300,0.55,3/1/2020
Utah,1857861,3282120,0.5661,11/3/2020
Vermont,495267,628061,0.7886,9/1/2020
Virginia,5975696,8626210,0.6927,11/1/2020
Washington,4861482,7797100,0.6235,10/27/2020
West Virginia,1268460,1778070,0.7134,10/13/2020
Wisconsin,3684726,5851750,0.6297,11/1/2020
Wyoming,268837,567025,0.4741,11/3/2020
District of Columbia,517890,"720,687",0.7186,11/4/2020
